True_Label,Predicted,Rounded
1,0.8921417593955994,1.0
0,0.7142283916473389,1.0
1,0.8726493120193481,1.0
0,0.6108530759811401,1.0
1,0.8522210121154785,1.0
1,1.2377790212631226,1.0
0,0.2748398184776306,0.0
1,1.0828819274902344,1.0
0,0.037161312997341156,0.0
1,0.7458691000938416,1.0
0,0.012448493391275406,0.0
1,0.6086413264274597,1.0
1,0.2807655334472656,0.0
0,0.3224108815193176,0.0
0,0.4399627447128296,0.0
0,0.5499345064163208,1.0
0,1.104810357093811,1.0
0,0.36329561471939087,0.0
1,0.6335744857788086,1.0
1,0.9198905229568481,1.0
0,0.5519835948944092,1.0
1,0.39900192618370056,0.0
1,0.982255220413208,1.0
1,0.9647142887115479,1.0
1,1.0936604738235474,1.0
0,0.4937124252319336,0.0
1,0.9058070182800293,1.0
0,0.09161776304244995,0.0
0,0.7253228425979614,1.0
0,0.3817688226699829,0.0
0,0.012604374438524246,0.0
0,0.15361908078193665,0.0
0,0.0879877433180809,0.0
0,0.40334510803222656,0.0
1,0.40502041578292847,0.0
0,0.04116174951195717,0.0
1,0.8964985609054565,1.0
1,1.3089666366577148,1.0
1,0.7218661308288574,1.0
0,0.03411806374788284,0.0
0,0.5395322442054749,1.0
1,1.3679890632629395,1.0
0,0.0,0.0
0,0.6599347591400146,1.0
1,0.803369402885437,1.0
0,0.26003217697143555,0.0
0,0.016665488481521606,0.0
0,0.45233386754989624,0.0
0,0.0,0.0
1,0.7185238599777222,1.0
1,0.9267438650131226,1.0
0,0.3311440944671631,0.0
1,0.9852123260498047,1.0
0,0.0,0.0
0,0.378224641084671,0.0
1,0.8345515727996826,1.0
1,0.7643049955368042,1.0
1,0.8889034986495972,1.0
1,0.7478151321411133,1.0
0,0.0,0.0
1,0.7323494553565979,1.0
0,0.3711481988430023,0.0
1,0.6752452850341797,1.0
1,0.4213992953300476,0.0
1,0.502898097038269,1.0
1,0.9162054061889648,1.0
0,0.0,0.0
1,1.0361065864562988,1.0
0,0.2705380916595459,0.0
1,0.6066586971282959,1.0
1,1.1778347492218018,1.0
0,0.13739018142223358,0.0
1,0.864499032497406,1.0
1,0.49135708808898926,0.0
0,0.17436189949512482,0.0
0,0.8709028959274292,1.0
1,0.8809331655502319,1.0
0,0.32924771308898926,0.0
0,0.25095149874687195,0.0
1,0.6241292953491211,1.0
0,0.4169694781303406,0.0
0,0.0,0.0
1,1.0253255367279053,1.0
1,0.24291080236434937,0.0
1,1.1677851676940918,1.0
1,0.7385956048965454,1.0
1,0.6341753005981445,1.0
0,0.5921247005462646,1.0
0,0.1921512335538864,0.0
1,0.6966893672943115,1.0
1,1.4216666221618652,1.0
1,1.3275926113128662,1.0
0,0.3795696496963501,0.0
0,0.1631426215171814,0.0
1,0.7093179821968079,1.0
1,0.9822862148284912,1.0
0,0.24514079093933105,0.0
1,1.022009015083313,1.0
1,0.6564358472824097,1.0
1,1.015375018119812,1.0
0,0.0,0.0
0,0.12919481098651886,0.0
0,0.006153177935630083,0.0
1,0.8031613826751709,1.0
0,0.6837206482887268,1.0
0,0.016638386994600296,0.0
0,0.2972041964530945,0.0
0,0.09134730696678162,0.0
0,0.041363492608070374,0.0
0,0.1937762051820755,0.0
0,0.0,0.0
1,0.44940561056137085,0.0
1,1.0854825973510742,1.0
1,0.340751975774765,0.0
0,0.34396493434906006,0.0
0,0.18121331930160522,0.0
1,0.5056484341621399,1.0
0,0.0,0.0
0,0.4459132254123688,0.0
1,0.7512134313583374,1.0
1,0.46932947635650635,0.0
1,0.8088222146034241,1.0
1,0.1793573796749115,0.0
0,0.3809032738208771,0.0
0,0.4879525601863861,0.0
1,0.8756144046783447,1.0
0,0.3056859076023102,0.0
0,0.16498292982578278,0.0
1,0.7410221695899963,1.0
0,0.0,0.0
1,0.3894282579421997,0.0
1,0.7127252817153931,1.0
0,0.06906447559595108,0.0
0,0.6350808143615723,1.0
0,0.27540597319602966,0.0
1,0.6914747953414917,1.0
1,0.7554800510406494,1.0
1,1.0432889461517334,1.0
1,0.5280927419662476,1.0
1,0.44257602095603943,0.0
1,1.2301934957504272,1.0
0,0.389043390750885,0.0
1,1.0631725788116455,1.0
0,0.7596853971481323,1.0
1,1.148129940032959,1.0
0,0.31309008598327637,0.0
0,0.442554771900177,0.0
1,0.7453086376190186,1.0
0,0.5119526386260986,1.0
0,1.0471584796905518,1.0
1,0.49803975224494934,0.0
0,0.0,0.0
0,0.5229719877243042,1.0
1,0.8813103437423706,1.0
0,0.3168475925922394,0.0
0,0.351864755153656,0.0
0,0.5608354210853577,1.0
1,0.7665185332298279,1.0
0,0.5562880635261536,1.0
1,0.765225887298584,1.0
0,0.0,0.0
0,0.286088228225708,0.0
0,0.41181474924087524,0.0
1,1.1696127653121948,1.0
1,0.5891305804252625,1.0
1,0.6114412546157837,1.0
1,0.874062716960907,1.0
1,0.1538514643907547,0.0
0,0.27519214153289795,0.0
1,0.7134518623352051,1.0
1,1.0238473415374756,1.0
0,0.0746745765209198,0.0
1,0.5592421293258667,1.0
1,0.6879701614379883,1.0
0,0.20847082138061523,0.0
1,0.7503336668014526,1.0
0,0.13012592494487762,0.0
1,1.1065411567687988,1.0
0,0.07645200192928314,0.0
1,0.8376069068908691,1.0
1,0.8911820650100708,1.0
0,0.5447245240211487,1.0
1,1.0619531869888306,1.0
1,0.4310527443885803,0.0
0,0.0,0.0
0,0.5056058168411255,1.0
